,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0
filter_load_illum45_v1.4_10yrs,0.9246,0.6029318070540536,1.0,0.585771081294925,,,0.7508,0.48327127648686585,0.9304,0.6403594911937047,1.0,0.6274460590781623,,,0.7564,0.5048448878258986
filter_load_illum5_v1.4_10yrs,0.9198,0.605729863544784,1.0,0.5919182806925931,,,0.7496,0.48044533032444886,0.9274,0.6450899500070592,1.0,0.6377376731929304,,,0.7562,0.5047893940339111
filter_load_illum60_v1.4_10yrs,0.923,0.6063038931611089,1.0,0.5854519403963734,,,0.75,0.4820588285060521,0.9292,0.6448029234464029,1.0,0.628575771466503,,,0.7558,0.5046485415934914
flexddf_moreu_v1.4_10yrs,0.9248,0.5976512214062982,1.0,0.5789449511937764,,,0.7484,0.4822223547268097,0.9302,0.638688527347896,1.0,0.625468334525183,,,0.756,0.5043630308305249
flexddf_v1.4_10yrs,0.924,0.599950042197054,1.0,0.5888618814396419,,,0.7488,0.48017615213532855,0.931,0.6425623097374231,1.0,0.63357638564802,,,0.7552,0.5047532291313753
footprint_add_mag_cloudsv1.4_10yrs,0.9214,0.595835721878828,1.0,0.5845997264914599,1.0,0.4831383577693195,0.7488,0.4801825924228657,0.9274,0.6410995924236352,1.0,0.6292619347571076,1.0,0.5350011031927245,0.7564,0.505101844203633
footprint_big_sky_dustv1.4_10yrs,0.9406,0.5858104088645124,1.0,0.5731958417014359,1.0,0.4739964399354167,0.7276,0.45356366663425085,0.944,0.6326827668250005,1.0,0.6216028984365612,1.0,0.5298195660514992,0.7374,0.47830312084904464
footprint_big_sky_nouiyv1.4_10yrs,0.935,0.5965840950789162,1.0,0.5895946425285398,1.0,0.4879820170454928,0.7232,0.44515310688370696,0.9416,0.6348690550606964,1.0,0.6323934136812117,1.0,0.5381741608705989,0.7326,0.46780952311728297
footprint_big_skyv1.4_10yrs,0.9382,0.5962767253036494,1.0,0.5930144427624121,1.0,0.4917010621896585,0.7336,0.46334044788303885,0.9446,0.6365056121818148,1.0,0.6350128518935249,1.0,0.5431690451734886,0.7404,0.486935287108844
footprint_big_wfdv1.4_10yrs,0.9306,0.5903728572264191,1.0,0.5737582253577509,,,0.781,0.49259701017323493,0.9384,0.6426472827542218,1.0,0.6253029395904764,,,0.7884,0.5215484347949719
footprint_bluer_footprintv1.4_10yrs,0.9226,0.6081511685843833,1.0,0.5815970679671099,1.0,0.48946826011000866,0.7462,0.4634726552840789,0.9278,0.6493701522214189,1.0,0.6311553279229689,1.0,0.5428318475191976,0.7526,0.490874060661495
footprint_gp_smoothv1.4_10yrs,0.919,0.5940214392447373,1.0,0.5823600145327268,1.0,0.4734962751669856,0.7476,0.48262673368444065,0.926,0.6399033940627573,1.0,0.6329640990372438,1.0,0.5274036685386955,0.7572,0.5064369236084674
footprint_newAv1.4_10yrs,0.9366,0.594071592333719,1.0,0.5671162959660971,1.0,0.47068288734470093,0.8008,0.5021627039249716,0.9408,0.644769068163024,1.0,0.6221530371894993,1.0,0.5287341822532428,0.807,0.5306760772482314
footprint_newBv1.4_10yrs,0.937,0.5983677472339883,1.0,0.5776172915266432,1.0,0.48283569663157344,0.799,0.5025630468895541,0.9416,0.6455266946234942,1.0,0.6279824009771962,1.0,0.5355892038767089,0.8066,0.5319474504631357
footprint_no_gp_northv1.4_10yrs,0.921,0.5996328202092315,1.0,0.5839972741818743,1.0,0.4850870104413108,0.7478,0.4768426093723635,0.925,0.6416200575765534,1.0,0.6310877144776138,1.0,0.5342113041842145,0.7542,0.5018035911981781
footprint_standard_goalsv1.4_10yrs,0.9198,0.5967201190715594,1.0,0.583644258287925,1.0,0.4823496586005924,0.7514,0.4773132121918815,0.9262,0.6403421153504132,1.0,0.631376013044476,1.0,0.5378605852960112,0.7554,0.5027922052096921
footprint_stuck_rollingv1.4_10yrs,0.938,0.6017927407226806,1.0,0.6098577864260115,1.0,0.5290165056425654,0.7506,0.4834877356403807,0.94,0.6315673103708522,1.0,0.6434388728747779,1.0,0.5660773231360673,0.7554,0.5033200467564204
goodseeing_gi_v1.4_10yrs,0.9198,0.5918223911041467,1.0,0.5795296185020574,,,0.7488,0.4776436151045513,0.924,0.6355296776820111,1.0,0.6256999857177576,,,0.7548,0.5014871849557565
goodseeing_gri_v1.4_10yrs,0.9168,0.5901751594366493,1.0,0.5726792890224134,,,0.7488,0.4730478907441437,0.9256,0.6348144052386294,1.0,0.6206987935220805,,,0.7536,0.4973878310305592
goodseeing_griz_v1.4_10yrs,0.9218,0.5870696771255132,1.0,0.5698171916929438,,,0.7504,0.47170218531236935,0.9262,0.6321491342997423,1.0,0.6175587586447575,,,0.754,0.49615880185860795
goodseeing_gz_v1.4_10yrs,0.9178,0.5895144939953191,1.0,0.5720761653129777,,,0.7484,0.47395756785382165,0.9252,0.6345659668923516,1.0,0.618634307095836,,,0.754,0.4968465490298553
goodseeing_i_v1.4_10yrs,0.9194,0.5939759772223258,1.0,0.584794750377774,,,0.7502,0.48389131667099905,0.9252,0.6372984328236716,1.0,0.6306743598153087,,,0.7566,0.505756410677967
longseasonddf_v1.4_10yrs,0.9238,0.60101150554468,1.0,0.5843153584536768,,,0.7486,0.4798018011660093,0.9296,0.6407739376734105,1.0,0.6298917952123706,,,0.756,0.5042353549447708
nopairs_v1.4_10yrs,0.9162,0.5456132609501274,1.0,0.5141193395767939,,,0.7374,0.45163008250200976,0.926,0.604104154195159,1.0,0.5762596481731107,,,0.749,0.48211570339014553
pair_strategy_0_v1.4_10yrs,0.9198,0.5970060102203472,1.0,0.5881337470826505,1.0,0.498719256874942,0.7484,0.48223550937268644,0.9276,0.6425546430708493,1.0,0.6357277521591052,1.0,0.5481674017534738,0.7554,0.5061750336841561
